station_name,date,name,value
Alna,2017-01-20,doc,4.4
Alna,2017-01-20,a250,0.1
Alna,2017-01-20,a254,0.09
Alna,2017-01-20,a365,0.01
Alna,2017-01-20,SUVA_254,2.08
Alna,2017-01-20,E2_E3,6.87
Alna,2017-02-07,doc,4
Alna,2017-02-07,a250,0.09
Alna,2017-02-07,a254,0.09
Alna,2017-02-07,a365,0.01
Alna,2017-02-07,SUVA_254,2.26
Alna,2017-02-07,E2_E3,6.58
Alna,2017-03-03,doc,5.6
Alna,2017-03-03,a250,0.14
Alna,2017-03-03,a254,0.14
Alna,2017-03-03,a365,0.03
Alna,2017-03-03,SUVA_254,2.48
Alna,2017-03-03,E2_E3,5.61
Alna,2017-04-05,doc,4.4
Alna,2017-04-05,a250,0.14
Alna,2017-04-05,a254,0.13
Alna,2017-04-05,a365,0.03
Alna,2017-04-05,SUVA_254,3.01
Alna,2017-04-05,E2_E3,5.46
Alna,2017-05-03,doc,4.2
Alna,2017-05-03,a250,0.1
Alna,2017-05-03,a254,0.1
Alna,2017-05-03,a365,0.02
Alna,2017-05-03,SUVA_254,2.32
Alna,2017-05-03,E2_E3,6.49
Alna,2017-06-08,doc,3.5
Alna,2017-06-08,a250,0.14
Alna,2017-06-08,a254,0.13
Alna,2017-06-08,a365,0.03
Alna,2017-06-08,SUVA_254,3.83
Alna,2017-06-08,E2_E3,5.53
Alna,2017-07-05,doc,5
Alna,2017-07-05,a250,0.15
Alna,2017-07-05,a254,0.14
Alna,2017-07-05,a365,0.02
Alna,2017-07-05,SUVA_254,2.8
Alna,2017-07-05,E2_E3,7.25
Alna,2017-08-03,doc,4.2
Alna,2017-08-03,a250,0.13
Alna,2017-08-03,a254,0.13
Alna,2017-08-03,a365,0.02
Alna,2017-08-03,SUVA_254,3.07
Alna,2017-08-03,E2_E3,5.9
Alna,2017-09-04,doc,3.7
Alna,2017-09-04,a250,0.11
Alna,2017-09-04,a254,0.1
Alna,2017-09-04,a365,0.02
Alna,2017-09-04,SUVA_254,2.83
Alna,2017-09-04,E2_E3,6.12
Alna,2017-10-04,doc,5
Alna,2017-10-04,a250,0.16
Alna,2017-10-04,a254,0.16
Alna,2017-10-04,a365,0.03
Alna,2017-10-04,SUVA_254,3.12
Alna,2017-10-04,E2_E3,5.64
Alna,2017-11-07,doc,5.5
Alna,2017-11-07,a250,0.19
Alna,2017-11-07,a254,0.18
Alna,2017-11-07,a365,0.03
Alna,2017-11-07,SUVA_254,3.29
Alna,2017-11-07,E2_E3,5.42
Alna,2017-12-05,doc,3.5
Alna,2017-12-05,a250,0.13
Alna,2017-12-05,a254,0.13
Alna,2017-12-05,a365,0.02
Alna,2017-12-05,SUVA_254,3.7
Alna,2017-12-05,E2_E3,5.4
Alna,2018-01-04,doc,3.5
Alna,2018-01-04,a250,0.14
Alna,2018-01-04,a254,0.13
Alna,2018-01-04,a365,0.03
Alna,2018-01-04,SUVA_254,3.74
Alna,2018-01-04,E2_E3,5.37
Alna,2018-02-06,doc,3.9
Alna,2018-02-06,a250,0.11
