station_name	date	name	value
Alna	20.01.2017	doc	4.4
Alna	20.01.2017	a250	0.1
Alna	20.01.2017	a254	0.09
Alna	20.01.2017	a365	0.01
Alna	20.01.2017	SUVA_254	2.08
Alna	20.01.2017	E2_E3	6.87
Alna	07.02.2017	doc	4
Alna	07.02.2017	a250	0.09
Alna	07.02.2017	a254	0.09
Alna	07.02.2017	a365	0.01
Alna	07.02.2017	SUVA_254	2.26
Alna	07.02.2017	E2_E3	6.58
Alna	03.03.2017	doc	5.6
Alna	03.03.2017	a250	0.14
Alna	03.03.2017	a254	0.14
Alna	03.03.2017	a365	0.03
Alna	03.03.2017	SUVA_254	2.48
Alna	03.03.2017	E2_E3	5.61
Alna	05.04.2017	doc	4.4
Alna	05.04.2017	a250	0.14
Alna	05.04.2017	a254	0.13
Alna	05.04.2017	a365	0.03
Alna	05.04.2017	SUVA_254	3.01
Alna	05.04.2017	E2_E3	5.46
Alna	03.05.2017	doc	4.2
Alna	03.05.2017	a250	0.1
Alna	03.05.2017	a254	0.1
Alna	03.05.2017	a365	0.02
Alna	03.05.2017	SUVA_254	2.32
Alna	03.05.2017	E2_E3	6.49
Alna	08.06.2017	doc	3.5
Alna	08.06.2017	a250	0.14
Alna	08.06.2017	a254	0.13
Alna	08.06.2017	a365	0.03
Alna	08.06.2017	SUVA_254	3.83
Alna	08.06.2017	E2_E3	5.53
Alna	05.07.2017	doc	5
Alna	05.07.2017	a250	0.15
Alna	05.07.2017	a254	0.14
Alna	05.07.2017	a365	0.02
Alna	05.07.2017	SUVA_254	2.8
Alna	05.07.2017	E2_E3	7.25
Alna	03.08.2017	doc	4.2
Alna	03.08.2017	a250	0.13
Alna	03.08.2017	a254	0.13
Alna	03.08.2017	a365	0.02
Alna	03.08.2017	SUVA_254	3.07
Alna	03.08.2017	E2_E3	5.9
Alna	04.09.2017	doc	3.7
Alna	04.09.2017	a250	0.11
Alna	04.09.2017	a254	0.1
Alna	04.09.2017	a365	0.02
Alna	04.09.2017	SUVA_254	2.83
Alna	04.09.2017	E2_E3	6.12
Alna	04.10.2017	doc	5
Alna	04.10.2017	a250	0.16
Alna	04.10.2017	a254	0.16
Alna	04.10.2017	a365	0.03
Alna	04.10.2017	SUVA_254	3.12
Alna	04.10.2017	E2_E3	5.64
Alna	07.11.2017	doc	5.5
Alna	07.11.2017	a250	0.19
Alna	07.11.2017	a254	0.18
Alna	07.11.2017	a365	0.03
Alna	07.11.2017	SUVA_254	3.29
Alna	07.11.2017	E2_E3	5.42
Alna	05.12.2017	doc	3.5
Alna	05.12.2017	a250	0.13
Alna	05.12.2017	a254	0.13
Alna	05.12.2017	a365	0.02
Alna	05.12.2017	SUVA_254	3.7
Alna	05.12.2017	E2_E3	5.4
Alna	04.01.2018	doc	3.5
Alna	04.01.2018	a250	0.14
Alna	04.01.2018	a254	0.13
Alna	04.01.2018	a365	0.03
Alna	04.01.2018	SUVA_254	3.74
Alna	04.01.2018	E2_E3	5.37
Alna	06.02.2018	doc	3.9
Alna	06.02.2018	a250	0.11
Alna	06.02.2018	a254	0.11
Alna	06.02.2018	a365	0.02
Alna	06.02.2018	SUVA_254	2.73
Alna	06.02.2018	E2_E3	5.63
Alna	07.03.2018	doc	2.6
Alna	07.03.2018	a250	0.1
Alna	07.03.2018	a254	0.1
Alna	07.03.2018	a365	0.02
Alna	07.03.2018	SUVA_254	3.82
Alna	07.03.2018	E2_E3	6.12
Alna	05.04.2018	doc	4.4
Alna	05.04.2018	a250	0.1
Alna	05.04.2018	a254	0.09
Alna	05.04.2018	a365	0.01
Alna	05.04.2018	SUVA_254	2.16
Alna	05.04.2018	E2_E3	6.77
Alna	03.05.2018	doc	4
Alna	03.05.2018	a250	0.16
Alna	03.05.2018	a254	0.16
Alna	03.05.2018	a365	0.03
Alna	03.05.2018	SUVA_254	3.92
Alna	03.05.2018	E2_E3	5.16
Alna	05.06.2018	doc	2.9
Alna	05.06.2018	a250	0.09
Alna	05.06.2018	a254	0.09
Alna	05.06.2018	a365	0.01
Alna	05.06.2018	SUVA_254	3.01
Alna	05.06.2018	E2_E3	6.41
Alna	03.07.2018	doc	3.1
Alna	03.07.2018	a250	0.1
Alna	03.07.2018	a254	0.09
Alna	03.07.2018	a365	0.02
Alna	03.07.2018	SUVA_254	2.97
Alna	03.07.2018	E2_E3	6.41
Alna	07.08.2018	doc	3.1
Alna	07.08.2018	a250	0.09
Alna	07.08.2018	a254	0.08
Alna	07.08.2018	a365	0.01
Alna	07.08.2018	SUVA_254	2.73
Alna	07.08.2018	E2_E3	6.46
Alna	04.09.2018	doc	2.88
Alna	04.09.2018	a250	0.09
Alna	04.09.2018	a254	0.08
Alna	04.09.2018	a365	0.01
