"StationId","Station.name","SampleDate","Alk_4.5","ANC","Ca","Cl","DOC","Farge","K","Konduktivitet","Mg","Na","NH4.N","Nitrogen.part","NO3.N","pH","PO4.P","POC","Si","SiO2","SO4","STS","Temperatur","TOC","TOTN","TOTP","TOTP_P","TSM","Turbiditet","Ag","As","Cd","Cd.filt","Cr","Cu","Hg","Hg.filt","Ni","Ni.filt","Pb","Pb.filt","Zn"
40352,"Drammenselva","10.01.2022 11:40",0.211,175,3.97,2.27,2.8,"18",0.44,3.46,0.6,1.48,"19",14.8,"290",6.98,"2",119,1.45,3.02,3.02,"1.4",0.9,2.8,350,"3",2,"0.8","0.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40352,"Drammenselva","07.02.2022 09:20",0.22,204,4.14,2.27,2.6,"16",0.46,3.71,0.66,1.69,"22",41.5,"250",7.03,"1",210,1.36,2.86,2.89,"1",0.4,2.6,360,"4",3,"0.77","0.53","< 0.002","0.062","0.0063",NA,0.09,0.5,0.83,NA,0.4,NA,"0.034",NA,"1.3"
40352,"Drammenselva","07.03.2022 11:15",0.208,182,3.82,1.94,2.4,"14",0.44,3.44,0.59,1.43,"11",33.4,"260",7.06,"1",168,1.26,2.58,2.74,"< 1.3",1.4,2.5,330,"3",3,"< 0.4","0.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40352,"Drammenselva","04.04.2022 11:30",0.205,187,4.1,2.05,2.5,"16",0.44,3.6,0.61,1.48,"13",19.1,"290",6.95,"3",112,1.18,2.78,3.1,"1.1",2.7,2.6,350,"4",2,"0.97","0.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40352,"Drammenselva","02.05.2022 10:30",0.252,212,4.81,2.84,3.1,"19",0.47,4.08,0.66,1.8,"23",24.5,"280",7.21,"1",184,1.25,2.69,3.47,"1.4",7.1,3.1,370,"4",4,"0.92","0.69","< 0.002","0.13","0.005",NA,NA,0.58,0.99,NA,0.62,NA,"0.043",NA,"2.1"
40352,"Drammenselva","16.05.2022 09:30",0.205,187,3.77,2.2,2.7,"16",0.47,3.45,0.67,1.67,"24",29.2,"210",7.11,"< 1",217,1.22,2.6,3.05,"1.3",8.7,2.8,290,"4",3,"0.98","0.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40352,"Drammenselva","30.05.2022 10:15",0.199,174,3.41,2.07,2.9,"17",0.46,3.14,0.6,1.57,"15",23,"170",7.14,"4",253,1.18,2.61,2.64,"3.2",10.7,3,310,"6",3,"1.53","0.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40352,"Drammenselva","07.06.2022 06:45",0.189,179,3.33,1.66,2.9,"18",0.41,3.11,0.53,1.39,"18",29.7,"130",7.08,"1",281,1.14,2.51,2.2,"1.3",14.5,3,250,"5",4,"1.26","0.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40352,"Drammenselva","13.06.2022 06:30",0.2,142,3.37,2.42,3,"19",0.44,3.21,0.54,1.44,"20",31.5,"190",7.11,"2",391,1.13,2.51,3.01,"1.1",14.8,3.1,290,"4",4,"1.21","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40352,"Drammenselva","27.06.2022 09:00",0.19,182,3.51,2,3.2,"18",0.53,3.27,0.59,1.54,"22",30.9,"160",6.93,"< 1",336,1.09,2.4,2.6,"1.1",18.3,3.3,280,"5",4,"1.01","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40352,"Drammenselva","11.07.2022 08:30",0.235,208,3.98,2.19,3.2,"17",0.51,3.85,0.7,1.75,"24",34.2,"180",7.2,"< 1",329,1.13,2.45,2.99,"1.2",17.8,3.2,320,"5",4,"1.03","0.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40352,"Drammenselva","01.08.2022 09:30",0.248,229,4.25,2.18,3.4,"16",0.55,3.96,0.72,1.85,"41",38.1,"180",7.17,"1",313,1.15,2.48,3,"1.3",18.8,3.5,320,"5",5,"1.24","0.96","0.002","0.15","0.005",NA,0.16,0.65,0.75,NA,0.41,NA,"0.053",NA,"1.1"
40352,"Drammenselva","05.09.2022 12:30",0.217,183,3.14,1.8,2.7,"13",0.46,3.42,0.64,1.66,"30",39.5,"100",7.22,"< 1",263,1.02,2.22,2.54,"1.7",18,2.9,240,"4",4,"0.88","0.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40352,"Drammenselva","03.10.2022 10:45",0.2,180,3.64,1.94,4.1,"22",0.46,3.45,0.59,1.48,"10",41,"240",7.15,"2",518,1.18,2.67,2.6,"1.8",12.1,4,370,"6",4,"1.91","1","< 0.002","0.13","0.007",NA,0.71,0.62,1.03,NA,0.37,NA,"0.081",NA,"1.4"
40352,"Drammenselva","07.11.2022 10:50",0.241,243,4.94,2.32,4.8,"31",0.6,4.5,0.81,1.76,"8",56,"490",7.1,"5",356,1.7,3.72,2.96,"5",7.9,4.9,680,"13",11,"6.38","3.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40352,"Drammenselva","06.12.2022 09:30",0.24,224,4.8,2.71,3.8,"22",0.51,4.18,0.72,1.86,"12",9.75,"330",7.19,"2",189,1.57,3.27,3.32,"1",3.3,3.8,420,"4",3,"1.03","0.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40353,"Skienselva","11.01.2022 11:00",0.111,91,1.87,1.44,2.6,"18",0.21,1.9,0.23,1.08,"9",18,"150",6.69,"< 1",115,1.06,2.42,1.09,"0.6",NA,2.6,290,"3",2,"< 1","0.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40353,"Skienselva","07.02.2022 17:20",0.114,96,1.88,1.44,2.6,"18",0.22,1.89,0.27,1.11,"12",18.7,"140",6.65,"1",172,1.07,2.31,1.1,"0.7",NA,2.7,330,"3",2,"0.58","0.39","0.0072","0.082","0.0052",NA,0.078,1.46,1.1,NA,0.51,NA,"0.125",NA,"4.4"
40353,"Skienselva","07.03.2022 16:50",0.113,97,1.95,1.42,2.5,"17",0.22,1.91,0.25,1.07,"7",30.8,"160",6.7,"1",257,1.1,2.3,1.05,"0.8",NA,2.5,230,"4",2,"0.83","0.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40353,"Skienselva","04.04.2022 16:30",0.118,84,1.95,1.95,2.5,"16",0.26,1.98,0.26,1.2,"51",17,"160",6.72,"2",214,1.09,2.37,1.3,"1.2",NA,2.6,290,"4",5,"1.24","0.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40353,"Skienselva","02.05.2022 19:10",0.12,88,2.01,1.65,2.5,"16",0.22,1.94,0.26,1.11,"19",14.1,"170",6.8,"< 1",130,1.07,2.33,1.41,"0.8",NA,2.6,250,"4",3,"0.5","< 0.3","< 0.002","0.077","0.007",NA,0.057,0.36,0.99,NA,0.19,NA,"0.029",NA,"1.7"
40353,"Skienselva","06.06.2022 14:30",0.131,95,1.88,1.4,2.4,"14",0.27,1.95,0.25,1.1,"42",32.6,"120",6.8,"2",603,0.992,2.25,1.23,"2.4",NA,2.4,280,"6",5,"2.36","0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40353,"Skienselva","04.07.2022 13:45",0.146,129,2.52,1.27,2,"11",0.22,2.12,0.25,1.04,"17",30.7,"110",6.92,"2",291,0.935,1.99,1.17,"1.3",NA,2,190,"6",3,"1.25","0.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40353,"Skienselva","01.08.2022 15:30",0.125,103,2.05,1.52,2.8,"11",0.28,1.91,0.26,1.09,"59",56.3,"90",6.87,"2",362,0.835,1.88,1.26,"1.2",NA,2.8,310,"5",4,"1.38","1.4","0.01","0.12","0.042",NA,0.08,NA,0.42,NA,0.32,NA,"0.226",NA,"24.6"
40353,"Skienselva","05.09.2022 18:30",0.13,109,1.93,1.14,1.9,"9",0.22,1.89,0.23,1.06,"30",26,"63",6.94,"< 1",363,0.788,1.86,1.01,"1.4",NA,2,170,"5",5,"0.83","0.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40353,"Skienselva","03.10.2022 15:25",0.125,99,2,1.4,2.5,"14",0.22,1.95,0.26,1.1,"14",33.4,"120",6.81,"< 1",429,0.939,2.08,1.32,"1.1",NA,2.6,200,"3",3,"0.8","0.74","< 0.002","0.087","0.014",NA,0.08,1.56,1.16,NA,0.2,NA,"0.116",NA,"3.1"
