Station ID	Station Code	Station name	Date	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr	Ca
36225	OSLEALN	Alna	20.01.2017 10:30	0.49	7.73	60.9	3.9	4.16	4.4	47	71	850	220	1800	6.75								
36225	OSLEALN	Alna	07.02.2017 13:00	0.43	7.9	76.2	4	5.19	4.3	50	76	770	270	1700	6.471	0.27	0.142	0.029	2.17	10.1	0.63	0.16	
36225	OSLEALN	Alna	17.02.2017	0.32																			
36225	OSLEALN	Alna	03.03.2017 10:20	1.87	7.83	63.8	10	11.3	5.7	46	64	920	53	1600	7.329								
36225	OSLEALN	Alna	05.04.2017 09:30	1.66	7.87	40.6	9.5	10.9	4.7	43	58	760	100	1320	6.75								
36225	OSLEALN	Alna	02.05.2017	0.69																			
36225	OSLEALN	Alna	03.05.2017	0.64	8.06	44.8	4.6	4.14	4.4	44	60	1130	<2	1380	4.65	0.29	0.215	0.022	2.3	6	0.62	0.2	
36225	OSLEALN	Alna	08.06.2017 12:20	1.69	7.92	38.8	8.5	10	4	26	34	1050	28	1500	6.45								
36225	OSLEALN	Alna	21.06.2017	0.81																			
36225	OSLEALN	Alna	05.07.2017 09:30	0.32	7.96	48.6	6	9.65	5.3	110	150	1160	280	2000	7.479								
36225	OSLEALN	Alna	03.08.2017	0.58																			
36225	OSLEALN	Alna	03.08.2017 09:15	0.58	7.99	38.1	5.2		4.3	79	94	1300	28	1900	6.814	0.47	0.494	0.027	3.12	9	0.9	0.35	
36225	OSLEALN	Alna	04.09.2017 10:15	0.48	8.03	41.6	3.6	2.83	3.8	120	100	1400	180	2100	7.65								
36225	OSLEALN	Alna	02.10.2017	0.69																			
36225	OSLEALN	Alna	04.10.2017 10:45	1.41	8.07	32.5	20	21.25	5	59	78	390	<2	1300	6.964	0.88	6.76	0.221	16.4	73.7	4.32	3.94	
36225	OSLEALN	Alna	11.10.2017	0.61																			
36225	OSLEALN	Alna	07.11.2017 10:30	2.55	8.04	26.6	6.6	11.06	5.6	39	49	750	37	1100	7.586								
36225	OSLEALN	Alna	05.12.2017 11:40	0.68	8.05	39.7	3.9	4.58	3.5	49	59	960	250	1600	7.329								
36225	OSLEALN	Alna	04.01.2018 10:35	1.108	7.9	127	4.1	3.62	4.2	4	8	290	9	490	7.136								
36225	OSLEALN	Alna	06.02.2018 11:50	0.667	7.9	66.5	3.5	3.54	4.2	46	60	910	230	1600	7.179	0.24	0.243	0.036	2.36	9.7	0.68	0.23	
36225	OSLEALN	Alna	07.03.2018 11:40	0.477	7.97	68.7	4.2	3.37	2.7	50	65	760	270	1600	6.386								
36225	OSLEALN	Alna	05.04.2018 13:15	1.985	7.79	97.6	97	116.2	16.2	210	240	1190	11	1900	9.214								
36225	OSLEALN	Alna	03.05.2018 10:20	2.238	7.92	39.9	8.8	8.01	4.1	32	28	660	<2	1030	6.043	0.38	0.558	0.038	3.02	11.6	0.95	0.5	
36225	OSLEALN	Alna	24.05.2018	0.366																			
36225	OSLEALN	Alna	05.06.2018 10:50	0.323	8.09	54.1	2.8	3.96	3	42	56	1100	22	1500	6.386								
36225	OSLEALN	Alna	03.07.2018 09:25	0.319	8.08	51.2	3.5	3.77	3.2	52	68	1400	26	1900	6.664								
36225	OSLEALN	Alna	07.08.2018 10:05	0.291	8.1	44.1	2.5	2.22	3.2	56	49	1150	<2	1700	6.9	0.45	0.202	0.023	1.92	4.8	0.63	0.13	
36225	OSLEALN	Alna	01.09.2018	0.3																			
36225	OSLEALN	Alna	04.09.2018 09:40	0.258	8.06	46.9	3.5	2.95	2.6	67	89	1160	<2	1700	6.771								
36225	OSLEALN	Alna	03.10.2018 10:30	0.948	8.01	39.6	9.5	4.98	2.6	51	62	1180	<2	1600	6.236	0.34	0.553	0.029	3.58	11.8	0.94	0.56	
36225	OSLEALN	Alna	05.11.2018 11:05	1.002	7.95	39.1	3.7	2.82	3	37	46	1190	75	1600	7.179								
36225	OSLEALN	Alna	05.12.2018 10:25	3.703	8.1	30.1	8.8	14.8	4.6	38	51	1020	<2	1300	7.5								
36225	OSLEALN	Alna	07.01.2019 10:35	0.492	7.78	48.6	2.3	2.68	3	58	67	1150	460	1700	6.793								
36225	OSLEALN	Alna	05.02.2019 11:50	0.393	7.88	51.6	2	2.09	3	48	65	820	230	1700	6.557	0.26	0.166	0.021	1.9	6.5	0.59	0.15	
36225	OSLEALN	Alna	05.03.2019 11:45	2.536	7.84	80	6.7	9.94	3.7	32	35	1200	6	2000	7.5								
36225	OSLEALN	Alna	02.04.2019 10:30	2.024	7.86	41.6	5.5	7.53	3.8	24	34	990	71	1300	6.471								
36225	OSLEALN	Alna	09.05.2019 09:25	0.748	7.93	45.9	2.7	4.21	2.4	36	54	780	95	1300	4.457	0.31	0.315	0.028	2.65	8.5	0.68	0.19	
36225	OSLEALN	Alna	21.05.2019	1.215																			
36225	OSLEALN	Alna	28.05.2019	0.823																			
36225	OSLEALN	Alna	04.06.2019	0.989																			
36225	OSLEALN	Alna	04.06.2019 12:10	0.989	7.93	46.9	2.4	3.7	2.6	28	46	800	35	1100	5.721								
36225	OSLEALN	Alna	03.07.2019 09:30	0.532	8.11	48.4	5.6	5.63	2.7	45	59	1130	59	1600	6.707								
36225	OSLEALN	Alna	06.08.2019 09:50	0.457	8.09	47.6	3.2	2.85	3.2	77	93	1150	<2	1700	6.557	0.52	0.677	0.027	2.91	14.6	1.48	0.24	
36225	OSLEALN	Alna	05.09.2019 10:00	52.594	7.75	27.1	61	104	11.1	140	170	780	<2	1300	5.871								
36225	OSLEALN	Alna	26.09.2019	0.506																			
36225	OSLEALN	Alna	01.10.2019	2.296																			
