"StationName","SampleDate","DOC","TOC"
"1","Drammenselva","23.01.2017 12:00",2.7,2.9
"2","Drammenselva","04.04.2017 08:00",3.5,3.5
"3","Drammenselva","02.05.2017 11:40",3.5,3.6
"4","Drammenselva","16.05.2017 10:40",2.8,3.1
"5","Drammenselva","23.05.2017 10:45",3,3.3
"6","Drammenselva","06.06.2017 20:15",3.4,3.7
"7","Drammenselva","19.06.2017 10:30",4,4.2
"8","Drammenselva","26.06.2017 08:30",3.7,3.7
"9","Drammenselva","04.07.2017 15:00",3.5,3.7
"10","Drammenselva","07.08.2017 18:00",3.4,3.5
"11","Drammenselva","04.09.2017 14:00",3.7,3.7
"12","Drammenselva","03.10.2017 14:50",5.3,5.4
"13","Drammenselva","06.11.2017 14:30",4.6,4.8
"14","Drammenselva","05.12.2017 14:40",3.2,3.2
"15","Drammenselva","02.01.2018 11:00",3,2.9
"16","Drammenselva","06.02.2018 09:30",2.5,2.5
"17","Drammenselva","06.03.2018 09:00",2.5,2.6
"18","Drammenselva","03.04.2018 09:30",2.4,2.3
"19","Drammenselva","08.05.2018 07:30",3.4,3.5
"20","Drammenselva","15.05.2018 07:30",3,3.1
"21","Drammenselva","28.05.2018 09:15",3.5,3.4
"22","Drammenselva","05.06.2018 06:40",3.4,3.4
"23","Drammenselva","12.06.2018 07:40",3,3.2
"24","Drammenselva","26.06.2018 08:15",3.1,3.2
"25","Drammenselva","02.07.2018 08:15",3.1,3.1
"26","Drammenselva","06.08.2018 10:30",2.6,2.7
"27","Drammenselva","04.09.2018 08:15",2.8,2.9
"28","Drammenselva","01.10.2018 11:00",3.4,3.2
"29","Drammenselva","05.11.2018 14:00",3.4,3.5
"30","Drammenselva","03.12.2018 11:20",3.8,3.8
"31","Drammenselva","07.01.2019 12:35",3.2,3.2
"32","Drammenselva","04.02.2019 12:00",2.8,2.9
"33","Drammenselva","04.03.2019 11:30",2.8,2.8
"34","Drammenselva","02.04.2019 13:00",3.9,3.9
"35","Drammenselva","06.05.2019 10:30",3.3,3.3
