station_id	station_code	station_name	datetime	name	value
29612	BUSEDRA	Drammenselva	2017-01-23T12:00:00Z	TOC_mg_L	2.9
29612	BUSEDRA	Drammenselva	2017-01-23T12:00:00Z	a250	4.69
29612	BUSEDRA	Drammenselva	2017-01-23T12:00:00Z	a254	4.55
29612	BUSEDRA	Drammenselva	2017-01-23T12:00:00Z	a365	0.86
29612	BUSEDRA	Drammenselva	2017-01-23T12:00:00Z	SUVA_254	63.68
29612	BUSEDRA	Drammenselva	2017-01-23T12:00:00Z	E2_E3	5.42
29612	BUSEDRA	Drammenselva	2017-02-07T13:00:00Z	TOC_mg_L	2.8
29612	BUSEDRA	Drammenselva	2017-02-07T13:00:00Z	a250	4.34
29612	BUSEDRA	Drammenselva	2017-02-07T13:00:00Z	a254	4.22
29612	BUSEDRA	Drammenselva	2017-02-07T13:00:00Z	a365	0.79
29612	BUSEDRA	Drammenselva	2017-02-07T13:00:00Z	SUVA_254	66.4
29612	BUSEDRA	Drammenselva	2017-02-07T13:00:00Z	E2_E3	5.52
29612	BUSEDRA	Drammenselva	2017-03-07T12:30:00Z	TOC_mg_L	2.4
29612	BUSEDRA	Drammenselva	2017-03-07T12:30:00Z	a250	4.02
29612	BUSEDRA	Drammenselva	2017-03-07T12:30:00Z	a254	3.9
29612	BUSEDRA	Drammenselva	2017-03-07T12:30:00Z	a365	0.71
29612	BUSEDRA	Drammenselva	2017-03-07T12:30:00Z	SUVA_254	61.47
29612	BUSEDRA	Drammenselva	2017-03-07T12:30:00Z	E2_E3	5.66
29612	BUSEDRA	Drammenselva	2017-04-04T08:00:00Z	TOC_mg_L	3.5
29612	BUSEDRA	Drammenselva	2017-04-04T08:00:00Z	a250	5.87
29612	BUSEDRA	Drammenselva	2017-04-04T08:00:00Z	a254	5.69
29612	BUSEDRA	Drammenselva	2017-04-04T08:00:00Z	a365	1.14
29612	BUSEDRA	Drammenselva	2017-04-04T08:00:00Z	SUVA_254	61.47
29612	BUSEDRA	Drammenselva	2017-04-04T08:00:00Z	E2_E3	5.17
29612	BUSEDRA	Drammenselva	2017-05-02T11:40:00Z	TOC_mg_L	3.6
29612	BUSEDRA	Drammenselva	2017-05-02T11:40:00Z	a250	5.82
29612	BUSEDRA	Drammenselva	2017-05-02T11:40:00Z	a254	5.64
29612	BUSEDRA	Drammenselva	2017-05-02T11:40:00Z	a365	1.09
29612	BUSEDRA	Drammenselva	2017-05-02T11:40:00Z	SUVA_254	63.81
29612	BUSEDRA	Drammenselva	2017-05-02T11:40:00Z	E2_E3	5.34
29612	BUSEDRA	Drammenselva	2017-05-16T10:40:00Z	TOC_mg_L	3.1
29612	BUSEDRA	Drammenselva	2017-05-16T10:40:00Z	a250	5.44
29612	BUSEDRA	Drammenselva	2017-05-16T10:40:00Z	a254	5.29
29612	BUSEDRA	Drammenselva	2017-05-16T10:40:00Z	a365	1.02
29612	BUSEDRA	Drammenselva	2017-05-16T10:40:00Z	SUVA_254	58.59
29612	BUSEDRA	Drammenselva	2017-05-16T10:40:00Z	E2_E3	5.32
29612	BUSEDRA	Drammenselva	2017-05-23T10:45:00Z	TOC_mg_L	3.3
29612	BUSEDRA	Drammenselva	2017-05-23T10:45:00Z	a250	5.94
29612	BUSEDRA	Drammenselva	2017-05-23T10:45:00Z	a254	5.78
29612	BUSEDRA	Drammenselva	2017-05-23T10:45:00Z	a365	1.16
29612	BUSEDRA	Drammenselva	2017-05-23T10:45:00Z	SUVA_254	57.14
29612	BUSEDRA	Drammenselva	2017-05-23T10:45:00Z	E2_E3	5.14
29612	BUSEDRA	Drammenselva	2017-06-06T20:15:00Z	TOC_mg_L	3.7
29612	BUSEDRA	Drammenselva	2017-06-06T20:15:00Z	a250	6.04
29612	BUSEDRA	Drammenselva	2017-06-06T20:15:00Z	a254	5.87
29612	BUSEDRA	Drammenselva	2017-06-06T20:15:00Z	a365	1.15
29612	BUSEDRA	Drammenselva	2017-06-06T20:15:00Z	SUVA_254	63.06
29612	BUSEDRA	Drammenselva	2017-06-06T20:15:00Z	E2_E3	5.26
29612	BUSEDRA	Drammenselva	2017-06-19T10:30:00Z	TOC_mg_L	4.2
29612	BUSEDRA	Drammenselva	2017-06-19T10:30:00Z	a250	7.36
29612	BUSEDRA	Drammenselva	2017-06-19T10:30:00Z	a254	7.15
29612	BUSEDRA	Drammenselva	2017-06-19T10:30:00Z	a365	1.44
29612	BUSEDRA	Drammenselva	2017-06-19T10:30:00Z	SUVA_254	58.71
29612	BUSEDRA	Drammenselva	2017-06-19T10:30:00Z	E2_E3	5.13
29612	BUSEDRA	Drammenselva	2017-06-26T08:30:00Z	TOC_mg_L	3.7
29612	BUSEDRA	Drammenselva	2017-06-26T08:30:00Z	a250	6.64
29612	BUSEDRA	Drammenselva	2017-06-26T08:30:00Z	a254	6.46
29612	BUSEDRA	Drammenselva	2017-06-26T08:30:00Z	a365	1.26
29612	BUSEDRA	Drammenselva	2017-06-26T08:30:00Z	SUVA_254	57.3
29612	BUSEDRA	Drammenselva	2017-06-26T08:30:00Z	E2_E3	5.29
29612	BUSEDRA	Drammenselva	2017-07-04T15:00:00Z	TOC_mg_L	3.7
29612	BUSEDRA	Drammenselva	2017-07-04T15:00:00Z	a250	6.22
29612	BUSEDRA	Drammenselva	2017-07-04T15:00:00Z	a254	6.04
29612	BUSEDRA	Drammenselva	2017-07-04T15:00:00Z	a365	1.14
29612	BUSEDRA	Drammenselva	2017-07-04T15:00:00Z	SUVA_254	61.23
29612	BUSEDRA	Drammenselva	2017-07-04T15:00:00Z	E2_E3	5.43
29612	BUSEDRA	Drammenselva	2017-08-07T18:00:00Z	TOC_mg_L	3.5
29612	BUSEDRA	Drammenselva	2017-08-07T18:00:00Z	a250	6.46
29612	BUSEDRA	Drammenselva	2017-08-07T18:00:00Z	a254	6.28
29612	BUSEDRA	Drammenselva	2017-08-07T18:00:00Z	a365	1.2
29612	BUSEDRA	Drammenselva	2017-08-07T18:00:00Z	SUVA_254	55.73
29612	BUSEDRA	Drammenselva	2017-08-07T18:00:00Z	E2_E3	5.37
29612	BUSEDRA	Drammenselva	2017-09-04T14:00:00Z	TOC_mg_L	3.7
29612	BUSEDRA	Drammenselva	2017-09-04T14:00:00Z	a250	6.4
29612	BUSEDRA	Drammenselva	2017-09-04T14:00:00Z	a254	6.23
29612	BUSEDRA	Drammenselva	2017-09-04T14:00:00Z	a365	1.16
29612	BUSEDRA	Drammenselva	2017-09-04T14:00:00Z	SUVA_254	59.39
29612	BUSEDRA	Drammenselva	2017-09-04T14:00:00Z	E2_E3	5.5
29612	BUSEDRA	Drammenselva	2017-10-03T14:50:00Z	TOC_mg_L	5.4
29612	BUSEDRA	Drammenselva	2017-10-03T14:50:00Z	a250	9.78
29612	BUSEDRA	Drammenselva	2017-10-03T14:50:00Z	a254	9.49
29612	BUSEDRA	Drammenselva	2017-10-03T14:50:00Z	a365	1.97
29612	BUSEDRA	Drammenselva	2017-10-03T14:50:00Z	SUVA_254	56.93
29612	BUSEDRA	Drammenselva	2017-10-03T14:50:00Z	E2_E3	4.96
29612	BUSEDRA	Drammenselva	2017-11-06T14:30:00Z	TOC_mg_L	4.8
29612	BUSEDRA	Drammenselva	2017-11-06T14:30:00Z	a250	7.98
29612	BUSEDRA	Drammenselva	2017-11-06T14:30:00Z	a254	7.74
29612	BUSEDRA	Drammenselva	2017-11-06T14:30:00Z	a365	1.58
29612	BUSEDRA	Drammenselva	2017-11-06T14:30:00Z	SUVA_254	61.98
29612	BUSEDRA	Drammenselva	2017-11-06T14:30:00Z	E2_E3	5.05
29612	BUSEDRA	Drammenselva	2017-12-05T14:40:00Z	TOC_mg_L	3.2
29612	BUSEDRA	Drammenselva	2017-12-05T14:40:00Z	a250	5.85
29612	BUSEDRA	Drammenselva	2017-12-05T14:40:00Z	a254	5.68
29612	BUSEDRA	Drammenselva	2017-12-05T14:40:00Z	a365	1.13
29612	BUSEDRA	Drammenselva	2017-12-05T14:40:00Z	SUVA_254	56.34
29612	BUSEDRA	Drammenselva	2017-12-05T14:40:00Z	E2_E3	5.19
29613	TELESKI	Skienselva	2017-01-25T11:05:00Z	TOC_mg_L	2.5
29613	TELESKI	Skienselva	2017-01-25T11:05:00Z	a250	4.28
29613	TELESKI	Skienselva	2017-01-25T11:05:00Z	a254	4.17
29613	TELESKI	Skienselva	2017-01-25T11:05:00Z	a365	0.81
29613	TELESKI	Skienselva	2017-01-25T11:05:00Z	SUVA_254	60.02
29613	TELESKI	Skienselva	2017-01-25T11:05:00Z	E2_E3	5.26
29613	TELESKI	Skienselva	2017-02-22T13:15:00Z	TOC_mg_L	2.5
29613	TELESKI	Skienselva	2017-02-22T13:15:00Z	a250	4.34
29613	TELESKI	Skienselva	2017-02-22T13:15:00Z	a254	4.22
29613	TELESKI	Skienselva	2017-02-22T13:15:00Z	a365	0.84
29613	TELESKI	Skienselva	2017-02-22T13:15:00Z	SUVA_254	59.24
29613	TELESKI	Skienselva	2017-02-22T13:15:00Z	E2_E3	5.15
29613	TELESKI	Skienselva	2017-03-14T10:45:00Z	TOC_mg_L	2.4
29613	TELESKI	Skienselva	2017-03-14T10:45:00Z	a250	4.32
29613	TELESKI	Skienselva	2017-03-14T10:45:00Z	a254	4.23
29613	TELESKI	Skienselva	2017-03-14T10:45:00Z	a365	0.8
29613	TELESKI	Skienselva	2017-03-14T10:45:00Z	SUVA_254	56.67
