ProjectId	ProjectName	StationId	StationName	SampleDate	Depth1	Depth2	pH	Konduktivitet	TSM	STS	Turbiditet	Ca	Mg	Na	K	Cl	SO4	Alk_4.5	ANC	TOC	DOC	POC	Farge	TOTN	NO3-N	NH4-N	Nitrogen part	TOTP	PO4-P	TOTP_P	Si	SiO2	Temperatur	Ag	As	Cd	Cd-filt	Cr	Cu	Hg	Hg-filt	Ni	Ni-filt	Pb	Pb-filt	Zn
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	21.01.2021 10:30	0	0	7.07	3.78	0.82	1.5	0.59	4.03	0.69	1.61	0.46	2.13	2.72	0.205	203.659	3.6	3.6	113	21	380	270	4	11.5	3	1	2.5	1.51	3.25	1.3													
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	02.02.2021 15:00	0	0	7.09	3.97	0.96	1.7	0.78	4.31	0.72	1.78	0.49	2.46	2.89	0.219	213.985	3.4	3.2	137	9	460	290	< 2	14.5	5	2	3.3	1.53	3.32	0.2	< 0.002	0.14	0.012	0.0087	0.17	0.59	1.08	< 0.3	0.45	0.44	0.055	0.024	1.8
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	02.03.2021 08:30	0	0	7.01	3.78	1.89	1.2	2.1	4.23	0.65	1.51	0.44	2.23	3.22	0.237	190.114	2.9	2.9	159	16	400	300	6	8.09	5	2	4.8	1.51	3.14	0.8													
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	06.04.2021 11:30	0	0	7.01	4.14	2.42	2.3	2.2	4.72	0.7	1.78	0.47	3.16	3.8	0.209	186.454	3.5	3.6	260	15	480	390	4	27.4	5	3	4.8	1.61	3.2	2.6													
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	03.05.2021 09:00	0	0	7.09	3.63	4.37	2	0.94	3.9	0.65	1.64	0.4	2.58	3.12	0.181	172.632	3.6	3.7	224	25	350	270	< 2	21.6	5	2	3.3	1.46	2.98	5.8	< 0.002	0.11	0.007	0.0074	0.1	0.62	1.03	0.98	0.4	0.38	0.053	0.026	1.6
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	18.05.2021 09:30	0	0	6.88	3.95	6.51	9	3.9	4.41	0.72	1.65	0.56	2.5	2.78	0.203	203.416	4.1	4	413	31	540	470	< 2	39.1	9	5	8.2	1.58	3.62	7													
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	25.05.2021 07:50	0	0	6.99	3.9	6.69	7.9	5	4.48	0.74	1.55	0.48	2.65	3.24	0.187	186.921	4.1	4.2	355	31	560	490	< 2	35.3	12	5	9.5	1.62	3.6	8.4													
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	07.06.2021 10:05	0	0	7.05	3.56	2.48	3	2.1	4.06	0.68	1.49	0.43	1.99	2.75	0.184	203.1	3.7	3.6	240	23	340	250	21	25.1	5	3	5.1	1.52	3.11	12.2													
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	14.06.2021 10:50	0	0	7.1	3.75	1.98	3.1	1.3	4.06	0.71	1.66	0.47	2.26	2.79	0.198	204.822	3.5	3.5	304	22	390	260	17	28.9	6	3	4.5	1.43	3.08	13.1													
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	28.06.2021 06:30	0	0	6.97	3.67	1.49	1	0.86	4.15	0.67	1.61	0.45	1.92	2.46	0.195	225.512	3.3	3.2	267	19	350	180	8	21.7	5	1	4	1.31	2.67	17													
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	05.07.2021 14:35	0	0	7	4.06	1.74	1.4	0.98	4.16	0.7	1.59	0.44	1.87	2.5	0.187	227.93	3.5	3.4	415	19	350	180	13	45.9	5	< 1	5	1.24	2.7	20													
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	02.08.2021 00:00	0	0																																								
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	02.08.2021 06:45	0	0	7.14	3.49	2.34	2.2	1.2	4.04	0.65	1.4	0.47	1.79	2.47	0.182	213.927	3.6	3.5	292	22	310	170	16	29.8	6	2	4.8	1.25	2.67	19.1	< 0.002	0.19	0.0056	0.0039	0.13	0.69	1.38		0.48	0.4	0.074	0.025	4.7
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	06.09.2021 07:30	0	0	7.2	3.19	0.79	1.1	0.99	3.44	0.6	1.4	0.41	1.61	2.27	0.204	191.152	3.1	3	366	17	270	120	24	35.6	6	2	3.6	1.07	2.36	16.7													
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	04.10.2021 11:00	0	0	7.1	4.35	7.63	7	4.1	5.38	0.85	1.8	0.71	2.8	3.42	0.257	237.516	5.3	5.2	914	37	800	660	3	52.8	16	8	13	1.7	3.76	12.5	< 0.002	0.24	0.0096	0.0077	0.63	1.09	2.29	1.46	0.59	0.45	0.227	0.057	2.9
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	01.11.2021 08:40	0	0	7.07	3.98	17.5	15.4	13	4.69	0.73	1.6	0.6	1.89	2.5	0.237	245.808	4	3.8	916	30	630	390	< 2	94.9	31	19	23	1.99	4.45	8.4													
12564	Elveoverv?ings hovedelver 2021-25	40352	Drammenselva	06.12.2021 10:50	0	0	6.97	3.4	1.31	2.3	0.82	3.77	0.62	1.5	0.44	1.74	2.35	0.209	201.192	3.4	3.4	156	21	390	230	10	15.8	4	2	2.9	1.44	3.29	1.9													
12564	Elveoverv?ings hovedelver 2021-25	40353	Skienselva	25.01.2021 09:00	0	0	6.67	2.02	0.78	1	0.72	2.05	0.3	1.15	0.23	1.47	1.09	0.116	108.007	3.2	3.3	76.8	22	350	150	< 2	5.08	3	1	2.6	1.18	2.54	2.4							1.13	0.91					
12564	Elveoverv?ings hovedelver 2021-25	40353	Skienselva	04.02.2021 10:30	0	0	6.64	1.93	0.82	< 0.7	0.66	1.89	0.3	1.17	0.24	1.38	1.07	0.107	104.104	2.9	2.8	117	2	240	150	< 2	8.65	3	1	2.8	1.13	2.44		< 0.002	0.096	0.0083	0.0066	0.082	0.39			0.21	0.19	0.055	0.021	1.8
12564	Elveoverv?ings hovedelver 2021-25	40353	Skienselva	01.03.2021 09:00	0	0	6.63	1.9	0.8	< 0.6	0.72	1.93	0.29	1.17	0.21	1.41	1.12	0.119	102.623	3	3	119	17	250	150	< 2	4.81	3	1	2.5	1.19	2.54														
12564	Elveoverv?ings hovedelver 2021-25	40353	Skienselva	06.04.2021 09:00	0	0	6.63	1.93	0.81	0.9	0.76	1.93	0.29	1.1	0.22	1.75	1.45	0.1	80.516	3	2.9	127	23	300	190	< 2	16.3	3	< 1	2.4	1.15	2.51														
12564	Elveoverv?ings hovedelver 2021-25	40353	Skienselva	03.05.2021 00:00	0	0																																								
